"","Study_number","Record_number","N","OtherFactor","Longitude","Clay_percent","Clay_depth","SOC_percent","SOC_depth","manipSM_per","manipSM_depth","BBL_notes","Percent_control","SM_mean","SM_sd","Author","Study_midyear","Latitude","Ecosystem_type","Manipulation","Manipulation_level","Meas_method","Species","Soil_type","Elevation","Meas_interval","Variable","Manip_Resp","Manip_SD","contSM_per","contSM_depth","Quality_flag","Control_Resp","Control_SD","Duration","sg_clay","sg_ocs","yi","vi"
"48",5448,3966,3,NA,120.02,12.1,5,1.63,5,30,12,"SM estimated from Figure 1c",30,NA,NA,"van Straaten",2007.5,-1.552,"Forest","Drought","","IRGA","Theobroma cacao; Gliricidia sepium","Cambisol (sandy loam)",560,30,"Rs_annual",2.77462146235764,1.3212483154084,NA,NA,NA,NA,NA,0,426.176470588235,65.4901960784314,NA,NA
"49",5536,4008,5,NA,116.68,NA,NA,NA,NA,13,10,NA,130,0.13,0.004472135955,"Yan",2006,42.45,"Grassland","Irrigation","15 mm H2O/week","IRGA","Stipa krylovii; Artemisia frigida; Potentilla acaulis; Cleistogenes squarrosa; Allium bidentatum; Agropyron cristatum","Aridisols",NA,3,"Rs_growingseason",3.15,0.4472135955,10,10,"",2.91,0.4248529157,0,177,29.14,0.0792493716541405,0.00829429995477284
"50",5536,4012,5,NA,116.68,NA,NA,NA,NA,11,10,NA,130,0.11,0.002236067977,"Yan",2007,42.45,"Grassland","Irrigation","15 mm H2O/week","IRGA","Stipa krylovii; Artemisia frigida; Potentilla acaulis; Cleistogenes squarrosa; Allium bidentatum; Agropyron cristatum","Aridisols",NA,3,"Rs_growingseason",1.48,0.0894427191,8,10,"",1.61,0.1118033989,1,177,29.14,-0.084192091220348,0.00169492915374005
"51",5308,4152,3,NA,8.17,NA,NA,3.9,10,7.4,10,NA,84,NA,NA,"De Dato",2002.5,40.62,"Shrubland","Drought","","IRGA","Cistus monspeliensis; Helichrysum italicum; Dorycnium pentaphyllum","Lithic Xerorthent and Typic Rhodoxeralfs (Sandy loam)",40,30,"Rs_annual",3.29994979256401,0.200036994952831,9.6,10,"Q01",3.45004360119441,0.400073989905663,0,234.690476190476,67.5238095238095,-0.0444796150086202,0.00570725103227104
"52",5308,4155,3,NA,8.17,NA,NA,3.9,10,11,10,NA,64,NA,NA,"De Dato",2003.5,40.62,"Shrubland","Drought","","IRGA","Cistus monspeliensis; Helichrysum italicum; Dorycnium pentaphyllum","Lithic Xerorthent and Typic Rhodoxeralfs (Sandy loam)",40,30,"Rs_annual",2.09999207251011,0.150093808630394,11.9,10,"Q01",2.19987844515498,0.200036994952831,1,234.690476190476,67.5238095238095,-0.046468536908465,0.00445896570667539
"53",5308,4158,3,NA,8.17,NA,NA,3.9,10,7.6,10,NA,64,0.39,NA,"De Dato",2004.5,40.62,"Shrubland","Drought","","IRGA","Cistus monspeliensis; Helichrysum italicum; Dorycnium pentaphyllum","Lithic Xerorthent and Typic Rhodoxeralfs (Sandy loam)",40,30,"Rs_annual",2.59995243506065,0.0998863726448749,12,10,"Q01",2.64989562138308,0.400073989905663,2,234.690476190476,67.5238095238095,-0.0190271004124185,0.00809003941363671
"54",6185,4394,3,NA,-73.23,NA,NA,NA,NA,32.5,5,NA,120,NA,NA,"Wu",2004,42.88333333,"Forest","Irrigation","","IRGA","Quercus rubra; Acer rubrum; Betula alleghaniensis; Fagus grandifolia; Acer saccharum; Tsuga canadensis","Sandy loam",NA,NA,"Rs_growingseason",4.45,0.92,30.1,5,"Q01",4.52,1.12,0,214.941176470588,63.3137254901961,-0.0156078976659908,0.0347135926656525
"55",6185,4396,3,NA,-73.23,NA,NA,NA,NA,36.4,5,NA,120,NA,NA,"Wu",2005,42.88333333,"Forest","Irrigation","","IRGA","Quercus rubra; Acer rubrum; Betula alleghaniensis; Fagus grandifolia; Acer saccharum; Tsuga canadensis","Sandy loam",NA,NA,"Rs_growingseason",5.13,1.31,33.7,5,"Q01",5.93,1.35,1,214.941176470588,63.3137254901961,-0.144918553826956,0.0390120987905593
"56",6166,4403,3,NA,11.93,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,"Cotrufo",2008,42.18333333,"Forest","Drought","-20% precip","IRGA","Arbutus unedo; Erica arborea; Fraxinus ornus","Andisol",500,0.1,"Rs_annual",3.73913273260577,0.330312078852099,NA,NA,"",3.05736860185503,0.19818724731126,0,334.666666666667,60.7254901960784,0.201299082883661,0.00400193864597362
"57",6166,4404,3,NA,11.93,NA,NA,NA,NA,NA,NA,NA,204,NA,NA,"Cotrufo",2008,42.18333333,"Forest","Irrigation","755 mm/yr","IRGA","Arbutus unedo; Erica arborea; Fraxinus ornus","Andisol",500,0.1,"Rs_annual",4.98639114235129,0.317099595698015,NA,NA,"",3.05736860185503,0.19818724731126,0,334.666666666667,60.7254901960784,0.489157818174874,0.00274868931377898
